epoch,lr-Adam,step,train_loss,val_loss
,0.001,0,,
0,,114,,4.458052635192871
0,,114,0.47091442346572876,
,0.001,115,,
1,,229,,0.3587222695350647
1,,229,0.3211999833583832,
,0.001,230,,
2,,344,,0.26849713921546936
2,,344,0.2872145175933838,
,0.001,345,,
3,,459,,0.2725371718406677
3,,459,0.2739316523075104,
,0.001,460,,
4,,574,,0.245702862739563
4,,574,0.2603307068347931,
,0.001,575,,
5,,689,,0.25341662764549255
5,,689,0.25110357999801636,
,0.001,690,,
6,,804,,0.26497337222099304
6,,804,0.25044313073158264,
,0.001,805,,
7,,919,,0.26443812251091003
7,,919,0.24004924297332764,
,0.001,920,,
8,,1034,,0.21224431693553925
8,,1034,0.23948314785957336,
,0.001,1035,,
9,,1149,,0.22910454869270325
9,,1149,0.23059777915477753,
,0.001,1150,,
10,,1264,,0.21012626588344574
10,,1264,0.22873549163341522,
,0.001,1265,,
11,,1379,,0.2061544507741928
11,,1379,0.2231808453798294,
,0.001,1380,,
12,,1494,,0.22952944040298462
12,,1494,0.2246323972940445,
,0.001,1495,,
13,,1609,,0.20782066881656647
13,,1609,0.21996672451496124,
,0.001,1610,,
14,,1724,,0.21632061898708344
14,,1724,0.21780818700790405,
,0.001,1725,,
15,,1839,,0.23193487524986267
15,,1839,0.21428115665912628,
,0.001,1840,,
16,,1954,,0.20309102535247803
16,,1954,0.21633756160736084,
,0.001,1955,,
17,,2069,,0.19742651283740997
17,,2069,0.21190404891967773,
,0.001,2070,,
18,,2184,,0.22704245150089264
18,,2184,0.21104037761688232,
,0.001,2185,,
19,,2299,,0.18114346265792847
19,,2299,0.21183417737483978,
,0.001,2300,,
20,,2414,,0.1890302151441574
20,,2414,0.20891191065311432,
,0.001,2415,,
21,,2529,,0.19357244670391083
21,,2529,0.20166794955730438,
,0.001,2530,,
22,,2644,,0.20946533977985382
22,,2644,0.20992086827754974,
,0.001,2645,,
23,,2759,,0.1855195313692093
23,,2759,0.2067415416240692,
,0.001,2760,,
24,,2874,,0.17822889983654022
24,,2874,0.20513863861560822,
,0.001,2875,,
25,,2989,,0.21344125270843506
25,,2989,0.20065446197986603,
,0.001,2990,,
26,,3104,,0.18716324865818024
26,,3104,0.20052006840705872,
,0.001,3105,,
27,,3219,,0.19306150078773499
27,,3219,0.2006382793188095,
,0.001,3220,,
28,,3334,,0.18869900703430176
28,,3334,0.20088112354278564,
,0.001,3335,,
29,,3449,,0.17527544498443604
29,,3449,0.19655941426753998,
,0.001,3450,,
30,,3564,,0.19514010846614838
30,,3564,0.19554339349269867,
,0.001,3565,,
31,,3679,,0.1973668783903122
31,,3679,0.19514763355255127,
,0.001,3680,,
32,,3794,,0.1724892556667328
32,,3794,0.19632796943187714,
,0.001,3795,,
33,,3909,,0.1714591532945633
33,,3909,0.19622990489006042,
,0.001,3910,,
34,,4024,,0.17602206766605377
34,,4024,0.19242368638515472,
,0.001,4025,,
35,,4139,,0.17481817305088043
35,,4139,0.1947673261165619,
,0.001,4140,,
36,,4254,,0.1880418211221695
36,,4254,0.19244278967380524,
,0.001,4255,,
37,,4369,,0.17328979074954987
37,,4369,0.1826690286397934,
,0.001,4370,,
38,,4484,,0.18649327754974365
38,,4484,0.18891233205795288,
,0.001,4485,,
39,,4599,,0.16534383594989777
39,,4599,0.19469816982746124,
,0.001,4600,,
40,,4714,,0.16491571068763733
40,,4714,0.18911178410053253,
,0.001,4715,,
41,,4829,,0.20692779123783112
41,,4829,0.19201678037643433,
,0.001,4830,,
42,,4944,,0.18311379849910736
42,,4944,0.1936832219362259,
,0.001,4945,,
43,,5059,,0.1653878092765808
43,,5059,0.18960493803024292,
,0.001,5060,,
44,,5174,,0.1714637279510498
44,,5174,0.18507549166679382,
,0.001,5175,,
45,,5289,,0.17156484723091125
45,,5289,0.1908806562423706,
,0.001,5290,,
46,,5404,,0.16347363591194153
46,,5404,0.18726903200149536,
,0.001,5405,,
47,,5519,,0.16084077954292297
47,,5519,0.18724380433559418,
,0.001,5520,,
48,,5634,,0.17216183245182037
48,,5634,0.1816076785326004,
,0.001,5635,,
49,,5749,,0.16584742069244385
49,,5749,0.18623539805412292,
,0.001,5750,,
50,,5864,,0.19625519216060638
50,,5864,0.18707537651062012,
,0.001,5865,,
51,,5979,,0.17668195068836212
51,,5979,0.1945909559726715,
,0.001,5980,,
52,,6094,,0.15914571285247803
52,,6094,0.18059779703617096,
,0.001,6095,,
53,,6209,,0.158170685172081
53,,6209,0.18282103538513184,
,0.001,6210,,
54,,6324,,0.15656477212905884
54,,6324,0.17812706530094147,
,0.001,6325,,
55,,6439,,0.1733783632516861
55,,6439,0.18285667896270752,
,0.001,6440,,
56,,6554,,0.16129468381404877
56,,6554,0.17976069450378418,
,0.001,6555,,
57,,6669,,0.14727795124053955
57,,6669,0.18795718252658844,
,0.001,6670,,
58,,6784,,0.1570974588394165
58,,6784,0.18224896490573883,
,0.001,6785,,
59,,6899,,0.14850753545761108
59,,6899,0.17744798958301544,
,0.001,6900,,
60,,7014,,0.1697453260421753
60,,7014,0.1796095371246338,
,0.001,7015,,
61,,7129,,0.2005985975265503
61,,7129,0.17725282907485962,
,0.001,7130,,
62,,7244,,0.18492664396762848
62,,7244,0.17708104848861694,
,0.001,7245,,
63,,7359,,0.16637566685676575
63,,7359,0.175190731883049,
,0.0005,7360,,
64,,7474,,0.14614538848400116
64,,7474,0.17373690009117126,
,0.0005,7475,,
65,,7589,,0.1535724401473999
65,,7589,0.17386141419410706,
,0.0005,7590,,
66,,7704,,0.13900992274284363
66,,7704,0.17149214446544647,
,0.0005,7705,,
67,,7819,,0.15676480531692505
67,,7819,0.1681629866361618,
,0.0005,7820,,
68,,7934,,0.15011993050575256
68,,7934,0.16577187180519104,
,0.0005,7935,,
69,,8049,,0.15543483197689056
69,,8049,0.16935887932777405,
,0.0005,8050,,
70,,8164,,0.1416441649198532
70,,8164,0.1659090518951416,
,0.0005,8165,,
71,,8279,,0.1454392820596695
71,,8279,0.1641675978899002,
,0.0005,8280,,
72,,8394,,0.17448332905769348
72,,8394,0.16364425420761108,
,0.00025,8395,,
73,,8509,,0.14157617092132568
73,,8509,0.16091150045394897,
,0.00025,8510,,
74,,8624,,0.15467862784862518
74,,8624,0.16312743723392487,
,0.00025,8625,,
75,,8739,,0.1414458006620407
75,,8739,0.15711064636707306,
,0.00025,8740,,
76,,8854,,0.14549869298934937
76,,8854,0.16056941449642181,
,0.00025,8855,,
77,,8969,,0.1525450050830841
77,,8969,0.15768389403820038,
,0.00025,8970,,
78,,9084,,0.14431476593017578
78,,9084,0.1585317701101303,
,0.000125,9085,,
79,,9199,,0.15376107394695282
79,,9199,0.15353135764598846,
,0.000125,9200,,
80,,9314,,0.1458682119846344
80,,9314,0.1514078825712204,
,0.000125,9315,,
81,,9429,,0.1391710489988327
81,,9429,0.1554476022720337,
